#Package	Display name
Human.1.0	Human; version 1.0
MIGS.ba.4.0	MIGS: cultured bacteria/archaea; version 4.0
MIGS.ba.air.4.0	MIGS: cultured bacteria/archaea, air; version 4.0
MIGS.ba.built.4.0	MIGS: cultured bacteria/archaea, built; version 4.0
MIGS.ba.host-associated.4.0	MIGS: cultured bacteria/archaea, host-associated; version 4.0
MIGS.ba.human-associated.4.0	MIGS: cultured bacteria/archaea, human-associated; version 4.0
MIGS.ba.human-gut.4.0	MIGS: cultured bacteria/archaea, human-gut; version 4.0
MIGS.ba.human-oral.4.0	MIGS: cultured bacteria/archaea, human-oral; version 4.0
MIGS.ba.human-skin.4.0	MIGS: cultured bacteria/archaea, human-skin; version 4.0
MIGS.ba.human-vaginal.4.0	MIGS: cultured bacteria/archaea, human-vaginal; version 4.0
MIGS.ba.microbial.4.0	MIGS: cultured bacteria/archaea, microbial; version 4.0
MIGS.ba.miscellaneous.4.0	MIGS: cultured bacteria/archaea, miscellaneous; version 4.0
MIGS.ba.plant-associated.4.0	MIGS: cultured bacteria/archaea, plant-associated; version 4.0
MIGS.ba.sediment.4.0	MIGS: cultured bacteria/archaea, sediment; version 4.0
MIGS.ba.soil.4.0	MIGS: cultured bacteria/archaea, soil; version 4.0
MIGS.ba.wastewater.4.0	MIGS: cultured bacteria/archaea, wastewater; version 4.0
MIGS.ba.water.4.0	MIGS: cultured bacteria/archaea, water; version 4.0
MIGS.eu.4.0	MIGS: eukaryote; version 4.0
MIGS.eu.air.4.0	MIGS: eukaryote, air; version 4.0
MIGS.eu.built.4.0	MIGS: eukaryote, built; version 4.0
MIGS.eu.host-associated.4.0	MIGS: eukaryote, host-associated; version 4.0
MIGS.eu.human-associated.4.0	MIGS: eukaryote, human-associated; version 4.0
MIGS.eu.human-gut.4.0	MIGS: eukaryote, human-gut; version 4.0
MIGS.eu.human-oral.4.0	MIGS: eukaryote, human-oral; version 4.0
MIGS.eu.human-skin.4.0	MIGS: eukaryote, human-skin; version 4.0
MIGS.eu.human-vaginal.4.0	MIGS: eukaryote, human-vaginal; version 4.0
MIGS.eu.microbial.4.0	MIGS: eukaryote, microbial; version 4.0
MIGS.eu.miscellaneous.4.0	MIGS: eukaryote, miscellaneous; version 4.0
MIGS.eu.plant-associated.4.0	MIGS: eukaryote, plant-associated; version 4.0
MIGS.eu.sediment.4.0	MIGS: eukaryote, sediment; version 4.0
MIGS.eu.soil.4.0	MIGS: eukaryote, soil; version 4.0
MIGS.eu.wastewater.4.0	MIGS: eukaryote, wastewater; version 4.0
MIGS.eu.water.4.0	MIGS: eukaryote, water; version 4.0
MIGS.vi.4.0	MIGS: virus; version 4.0
MIGS.vi.air.4.0	MIGS: virus, air; version 4.0
MIGS.vi.built.4.0	MIGS: virus, built; version 4.0
MIGS.vi.host-associated.4.0	MIGS: virus, host-associated; version 4.0
